,function,file,time,lines,test_no
313,interpolate Data,ideal.csv,0.03125,10000,5
314,save CSV File,ideal.csv,1.734375,10000,5
315,fill SQL Database,ideal.csv,1.421875,10000,5
316,fill SQL Database,train.csv,0.1875,10000,5
317,GET SQL Data,ideal.csv,0.515625,10000,5
318,GET SQL Data,train.csv,0.125,10000,5
319,Finding all Ideal Functions,,0.078125,10000,5
320,Assigning test data,,45.546875,10000,5
321,fill SQL Database,test.csv,0.25,10000,5
322,vis results,,0.265625,10000,5
323,load CSV File,train.csv,0.0,100000,5
324,interpolate Data,train.csv,0.015625,100000,5
325,save CSV File,train.csv,1.84375,100000,5
326,load CSV File,test.csv,0.0,100000,5
327,interpolate Data,test.csv,0.015625,100000,5
328,save CSV File,test.csv,0.890625,100000,5
329,load CSV File,ideal.csv,0.0,100000,5
330,interpolate Data,ideal.csv,0.171875,100000,5
331,save CSV File,ideal.csv,16.1875,100000,5
332,fill SQL Database,ideal.csv,15.046875,100000,5
333,fill SQL Database,train.csv,1.9375,100000,5
334,GET SQL Data,ideal.csv,5.25,100000,5
335,GET SQL Data,train.csv,0.890625,100000,5
336,Finding all Ideal Functions,,0.59375,100000,5
337,Assigning test data,,1521.203125,100000,5
338,fill SQL Database,test.csv,2.21875,100000,5
339,vis results,,1.828125,100000,5
340,load CSV File,train.csv,0.0,100,6
341,interpolate Data,train.csv,0.0,100,6
342,save CSV File,train.csv,0.0,100,6
343,load CSV File,test.csv,0.0,100,6
344,interpolate Data,test.csv,0.0,100,6
345,save CSV File,test.csv,0.0,100,6
346,load CSV File,ideal.csv,0.015625,100,6
347,interpolate Data,ideal.csv,0.015625,100,6
348,save CSV File,ideal.csv,0.015625,100,6
349,fill SQL Database,ideal.csv,0.21875,100,6
350,fill SQL Database,train.csv,0.046875,100,6
351,GET SQL Data,ideal.csv,0.0,100,6
352,GET SQL Data,train.csv,0.015625,100,6
353,Finding all Ideal Functions,,0.03125,100,6
354,Assigning test data,,0.4375,100,6
355,fill SQL Database,test.csv,0.015625,100,6
356,vis results,,0.109375,100,6
357,load CSV File,train.csv,0.0,1000,6
358,interpolate Data,train.csv,0.0,1000,6
359,save CSV File,train.csv,0.015625,1000,6
360,load CSV File,test.csv,0.0,1000,6
361,interpolate Data,test.csv,0.0,1000,6
362,save CSV File,test.csv,0.0,1000,6
363,load CSV File,ideal.csv,0.015625,1000,6
364,interpolate Data,ideal.csv,0.0,1000,6
365,save CSV File,ideal.csv,0.21875,1000,6
366,fill SQL Database,ideal.csv,0.265625,1000,6
367,fill SQL Database,train.csv,0.046875,1000,6
368,GET SQL Data,ideal.csv,0.046875,1000,6
369,GET SQL Data,train.csv,0.015625,1000,6
370,Finding all Ideal Functions,,0.046875,1000,6
371,Assigning test data,,4.109375,1000,6
372,fill SQL Database,test.csv,0.03125,1000,6
373,vis results,,0.109375,1000,6
374,load CSV File,train.csv,0.0,10000,6
375,interpolate Data,train.csv,0.015625,10000,6
376,save CSV File,train.csv,0.1875,10000,6
377,load CSV File,test.csv,0.0,10000,6
378,interpolate Data,test.csv,0.0,10000,6
379,save CSV File,test.csv,0.09375,10000,6
380,load CSV File,ideal.csv,0.0,10000,6
381,interpolate Data,ideal.csv,0.03125,10000,6
382,save CSV File,ideal.csv,1.59375,10000,6
383,fill SQL Database,ideal.csv,1.53125,10000,6
384,fill SQL Database,train.csv,0.203125,10000,6
385,GET SQL Data,ideal.csv,0.53125,10000,6
386,GET SQL Data,train.csv,0.0625,10000,6
387,Finding all Ideal Functions,,0.078125,10000,6
388,Assigning test data,,44.09375,10000,6
389,fill SQL Database,test.csv,0.234375,10000,6
390,vis results,,0.265625,10000,6
391,load CSV File,train.csv,0.0,100000,6
392,interpolate Data,train.csv,0.03125,100000,6
393,save CSV File,train.csv,1.796875,100000,6
394,load CSV File,test.csv,0.0,100000,6
395,interpolate Data,test.csv,0.0,100000,6
396,save CSV File,test.csv,0.875,100000,6
397,load CSV File,ideal.csv,0.0,100000,6
398,interpolate Data,ideal.csv,0.171875,100000,6
399,save CSV File,ideal.csv,15.9375,100000,6
400,fill SQL Database,ideal.csv,14.875,100000,6
401,fill SQL Database,train.csv,1.984375,100000,6
402,GET SQL Data,ideal.csv,5.15625,100000,6
403,GET SQL Data,train.csv,0.796875,100000,6
404,Finding all Ideal Functions,,0.5625,100000,6
405,Assigning test data,,1503.53125,100000,6
406,fill SQL Database,test.csv,2.3125,100000,6
407,vis results,,1.859375,100000,6
408,load CSV File,train.csv,0.0,100,7
409,interpolate Data,train.csv,0.0,100,7
410,save CSV File,train.csv,0.015625,100,7
411,load CSV File,test.csv,0.0,100,7
412,interpolate Data,test.csv,0.0,100,7
413,save CSV File,test.csv,0.0,100,7
414,load CSV File,ideal.csv,0.0,100,7
415,interpolate Data,ideal.csv,0.015625,100,7
416,save CSV File,ideal.csv,0.015625,100,7
417,fill SQL Database,ideal.csv,0.21875,100,7
418,fill SQL Database,train.csv,0.03125,100,7
419,GET SQL Data,ideal.csv,0.015625,100,7
420,GET SQL Data,train.csv,0.0,100,7
421,Finding all Ideal Functions,,0.03125,100,7
422,Assigning test data,,0.4375,100,7
423,fill SQL Database,test.csv,0.015625,100,7
424,vis results,,0.09375,100,7
425,load CSV File,train.csv,0.0,1000,7
426,interpolate Data,train.csv,0.0,1000,7
427,save CSV File,train.csv,0.015625,1000,7
428,load CSV File,test.csv,0.0,1000,7
429,interpolate Data,test.csv,0.0,1000,7
430,save CSV File,test.csv,0.0,1000,7
431,load CSV File,ideal.csv,0.015625,1000,7
432,interpolate Data,ideal.csv,0.0,1000,7
433,save CSV File,ideal.csv,0.1875,1000,7
434,fill SQL Database,ideal.csv,0.171875,1000,7
435,fill SQL Database,train.csv,0.015625,1000,7
436,GET SQL Data,ideal.csv,0.046875,1000,7
437,GET SQL Data,train.csv,0.015625,1000,7
438,Finding all Ideal Functions,,0.03125,1000,7
439,Assigning test data,,3.96875,1000,7
440,fill SQL Database,test.csv,0.015625,1000,7
441,vis results,,0.109375,1000,7
442,load CSV File,train.csv,0.0,10000,7
443,interpolate Data,train.csv,0.0,10000,7
444,save CSV File,train.csv,0.203125,10000,7
445,load CSV File,test.csv,0.0,10000,7
446,interpolate Data,test.csv,0.0,10000,7
447,save CSV File,test.csv,0.09375,10000,7
448,load CSV File,ideal.csv,0.0,10000,7
449,interpolate Data,ideal.csv,0.03125,10000,7
